typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","156","CHN","China","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","122883424107",,"122883424107","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","170","COL","Colombia","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","7042164112",,"7042164112","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","174","COM","Comoros","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","77588",,"77588","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","178","COG","Congo","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","5595386704",,"5595386704","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","180","COD","Dem. Rep. of the Congo","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","16780865474",,"16780865474","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","184","COK","Cook Isds","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","823407",,"823407","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","188","CRI","Costa Rica","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2008902794",,"2008902794","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","191","HRV","Croatia","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","158667026",,"158667026","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","192","CUB","Cuba","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","457959155",,"457959155","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","196","CYP","Cyprus","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","33409988",,"33409988","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","203","CZE","Czechia","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","5419432024",,"5419432024","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","204","BEN","Benin","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","257035799",,"257035799","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","208","DNK","Denmark","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","5717016923",,"5717016923","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","212","DMA","Dominica","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","431747",,"431747","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","214","DOM","Dominican Rep.","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","519256956",,"519256956","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","218","ECU","Ecuador","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","6800248155",,"6800248155","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","222","SLV","El Salvador","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","233420689",,"233420689","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","226","GNQ","Equatorial Guinea","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1516383585",,"1516383585","0","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","231","ETH","Ethiopia","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","453604948",,"453604948","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","232","ERI","Eritrea","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","461790557",,"461790557","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","233","EST","Estonia","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","301369610",,"301369610","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","234","FRO","Faeroe Isds","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","114782715",,"114782715","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","242","FJI","Fiji","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","43363943",,"43363943","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","246","FIN","Finland","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","5279180398",,"5279180398","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","251","FRA","France","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","35579427421",,"35579427421","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","258","PYF","French Polynesia","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","3446344",,"3446344","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","262","DJI","Djibouti","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","96734429",,"96734429","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","266","GAB","Gabon","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","3967189856",,"3967189856","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","268","GEO","Georgia","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","156717629",,"156717629","4","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","M","Import","270","GMB","Gambia","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","44142016",,"44142016","4","false","true",
