typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","410","KOR","Rep. of Korea","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","4687119452.13",,"4687119452.13","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","428","LVA","Latvia","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","358036534.2",,"358036534.2","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","440","LTU","Lithuania","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","919311453.99",,"919311453.99","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","442","LUX","Luxembourg","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","23997925229.07",,"23997925229.07","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","458","MYS","Malaysia","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1104648012.87",,"1104648012.87","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","470","MLT","Malta","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","536001752.67",,"536001752.67","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","484","MEX","Mexico","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1017244976.58",,"1017244976.58","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","504","MAR","Morocco","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","170593878.06",,"170593878.06","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","528","NLD","Netherlands","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","22581574821.72",,"22581574821.72","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","554","NZL","New Zealand","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","320126783.52",,"320126783.52","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","566","NGA","Nigeria","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","122153641.08",,"122153641.08","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","579","NOR","Norway","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","2889565440.72",,"2889565440.72","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","608","PHL","Philippines","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","421219452",,"421219452","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","616","POL","Poland","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","12747153666.15",,"12747153666.15","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","620","PRT","Portugal","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","3438203776.95",,"3438203776.95","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","642","ROU","Romania","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","2983286768.79",,"2983286768.79","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","643","RUS","Russian Federation","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1861789977.84",,"1861789977.84","0","true","false",
